NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
748,10/01/2005,15,21,33,43,[56],76
749,12/01/2005,28,33,[43],58,59,68
750,15/01/2005,09,39,49,58,59,72
751,19/01/2005,09,38,45,67,71,75
752,22/01/2005,09,12,20,28,31,[63]
753,26/01/2005,20,23,[24],31,48,58
754,29/01/2005,12,45,54,55,62,80
755,02/02/2005,12,24,59,62,71,72
756,03/02/2005,16,20,30,58,63,78
757,04/02/2005,09,25,36,39,46,56
758,07/02/2005,05,16,28,58,67,71
759,08/02/2005,09,13,21,[24],25,32
760,11/02/2005,09,19,23,28,45,47
761,16/02/2005,23,25,39,45,65,75
762,19/02/2005,20,23,24,28,75,78
763,23/02/2005,06,09,23,50,58,72
764,26/02/2005,20,[23],30,31,39,75
765,01/03/2005,06,[10],38,57,62,73
766,09/03/2005,09,25,28,50,64,[75]
767,11/03/2005,06,10,24,57,65,80
768,12/03/2005,10,23,39,52,[68],75
769,16/03/2005,03,09,23,36,50,57
770,19/03/2005,09,24,25,28,31,58
771,23/03/2005,06,10,30,39,57,78
772,26/03/2005,01,06,24,30,33,56
773,30/03/2005,09,10,28,33,57,58
774,05/04/2005,28,33,40,45,68,72
775,06/04/2005,06,10,21,28,36,58
776,08/04/2005,19,25,32,58,70,75
777,10/04/2005,04,10,23,28,32,[70]
778,13/04/2005,09,13,24,30,37,74
779,16/04/2005,[13],25,28,45,47,64
780,20/04/2005,09,30,58,62,64,80
781,23/04/2005,05,09,10,20,39,64
782,27/04/2005,[13],25,28,33,57,89
783,30/04/2005,10,12,20,24,58,73
784,01/05/2005,09,21,23,32,57,61
785,02/05/2005,21,31,32,34,59,82
786,03/05/2005,10,20,30,31,32,58
787,07/05/2005,01,02,09,10,31,63
788,11/05/2005,02,07,[13],28,32,[60]
789,14/05/2005,32,36,49,58,70,75
790,18/05/2005,10,13,30,32,33,[68]
791,21/05/2005,01,02,06,13,21,[45]
792,25/05/2005,16,23,30,48,57,89
793,28/05/2005,05,25,30,40,70,80
794,04/06/2005,09,16,23,44,45,[75]
795,08/06/2005,07,09,25,34,58,80
796,09/06/2005,07,23,28,30,52,61
797,10/06/2005,10,28,39,48,51,75
798,12/06/2005,01,10,28,39,51,76
799,15/06/2005,07,13,23,28,31,61
800,18/06/2005,[07],24,[27],28,41,48
801,21/06/2005,01,14,26,48,62,70
802,23/06/2005,01,14,26,48,62,70
